"RaceYearId","Event","Race","City","Country","Date","StartTime","Participation","Distance","ElevationGain","ElevationLoss","AidStations","Participants","lat","lon"
50041,"Dragon 100","Dragon 100","Cardiff","United Kingdom","2020-09-12","18:00:00","solo",165,3560,-3550,11,200,51.481581,-3.17909
53559,"GUUT100+","GUUT100MILES+","Gentofte","Denmark","2020-09-12","09:00:00","Solo",167.4,1610,-1620,1,20,55.75311,12.5386957
67713,"Pine creek challenge","100Miles","Wellsboro","PA, United States","2020-09-12","00:00:00","solo",0,0,0,0,0,41.7486838,-77.3005304
53999,"SwissPeaks Trail","170","LeBouveret","Switzerland","2020-09-03","10:00:00","solo",167,11140,-12910,15,400,46.3852842,6.8530962
65665,"Columbia Sanfo Ultra 168-Chongli","UTC","Chongli","China","2020-08-14","17:00:00","solo",161.1,7370,-7370,15,600,40.974675,115.282668
55265,"Sport-Marafon Trail","165 km","Nikola-Lenivets","Russia","2020-08-09","21:00:00","solo",162.5,1450,-1450,13,0,54.7518533,35.5998007
53939,"Halland Ultra-Beach","100 miles","Göteborg","Sweden","2020-08-08","12:00:00","solo",161.7,1740,-1750,2,50,32.1656221,-82.9000751
66836,"INNER MONGOLIA ULTRA MARATHON","Laoniuwan 168km","Hohhot","China","2020-08-08","07:40:00","solo",165.2,4600,-4600,15,100,40.842356,111.749995
51777,"Chiemgauer 100","100 Mile","Bergen","Germany","2020-07-31","13:00:00","Solo",0,0,0,9,150,52.8092281,9.9641638
50051,"Infinity Trail Backyard - Normandie","Infinity Trail - 23 boucles","PAVILLY","France","2020-07-31","14:00:00","solo",155.3,5160,-5160,1,80,49.572372,0.949614
66413,"Palisades Ultra Trail Series","Moose 100 Mile","Irwin","United States","2020-07-17","05:00:00","solo",0,0,0,14,0,40.3245138,-79.7011549
60049,"Silverheels 100-Mile Endurance Run","100 Mile","Fairplay","United States","2020-07-11","04:00:00","solo",166.7,4650,-4650,24,200,39.2247125,-106.0019618
62705,"Huanglong Extreme Endunrance Race","QZG+UTHL100","???","China","2020-07-03","06:00:00","relay",159.8,7700,-8200,10,0,35.86166,104.195397
49345,"Antelope Canyon","100 Mile","Page","United States","2020-03-14","06:00:00","solo",159.4,1850,-1850,10,300,36.9147222,-111.4558333
53633,"Borneo Ultra-Trail® Marathon","100 Miles","KotaKinabalu","Malaysia","2020-03-14","06:00:00","solo",161,7620,-7620,16,300,5.980408,116.0734568
61149,"Addo Elephant Trail Run","100 Mile","Addo","South Africa","2020-03-13","14:00:00","solo",161.2,5640,-5130,16,100,-33.5267165,25.7116584
52827,"100 MILLAS® SIERRAS DEL BANDOLERO","100 Millas","PradodelRey","Spain","2020-03-06","18:00:00","solo",161.1,6170,-6170,14,500,36.7882576,-5.5577902
63235,"Chattanooga 100 Mile Trail Race","Chattanooga 100 Mile Trail Race","RisingFawn","United States","2020-03-06","00:00:00","solo",158.1,3770,-3770,14,250,34.7600791,-85.531076
57473,"Les Traces du Nord Basse-Terre","L'Ultra-Trail®","Petit-Bourg","France","2020-02-28","18:30:00","solo",161.4,6240,-6240,14,400,44.775483,-0.117283
51649,"Ultra-Trail® Of Taiwan 100 miles","100 miles","???","Taiwan","2020-02-28","02:00:00","solo",158.6,7830,-7830,10,10,23.69781,120.960515
59053,"Lone Star 100","100M","ElPaso","United States","2020-02-08","05:00:00","solo",158.6,5930,-5850,9,0,31.7618778,-106.4850217
51945,"Tjörnarparen - Trail Ultra","100 miles","TJÖRNARP","Sweden","2020-02-08","09:00:00","solo",162.1,2300,-2330,9,50,55.9961699,13.6282372
57191,"Grandmaster Ultras","100 miler","Littlefield","United States","2020-02-07","08:00:00","solo",158.6,1730,-1730,14,0,33.9173148,-102.3249022
61175,"Orcas Island 100 Mile","Orcas Island 100 Mile","Olga","United States","2020-02-07","08:00:00","solo",163.5,7570,-7570,19,90,48.6195479,-122.8354591
53283,"LE DERNIER HOMME DEBOUT MORVAN","24 Boucles","Chateau-Chinon","France","2020-01-25","11:50:00","solo",169.9,5740,-5740,1,350,47.0569552,3.9244916
60495,"MONTANE® Spine® Races","MONTANE® Spine® Challenger","Edale","United Kingdom","2020-01-11","08:00:00","solo",174.2,4770,-4770,4,125,53.3672793,-1.8157636
44291,"S1 Trail La Corsa Della Bora","Ultra","TRIESTE","Italy","2020-01-04","06:00:00","solo",166.3,6750,-7110,9,150,45.6495264,13.7768182
45417,"UTSZ Trail Races","100Miles","shenzhen","China","2019-12-21","04:30:00","solo",166.6,8110,-8120,16,100,22.543096,114.057865
